date,hp_idx
1987-01-01,64.37466666666667
1987-04-01,65.59
1987-07-01,66.926
1987-10-01,68.117
1988-01-01,69.25366666666666
1988-04-01,70.43033333333334
1988-07-01,71.79766666666666
1988-10-01,73.05766666666666
1989-01-01,74.36933333333333
1989-04-01,75.29033333333332
1989-07-01,75.85033333333332
1989-10-01,76.503
1990-01-01,77.05033333333334
1990-04-01,77.278
1990-07-01,76.99900000000001
1990-10-01,76.41833333333334
1991-01-01,75.74033333333334
1991-04-01,75.77499999999999
1991-07-01,76.129
1991-10-01,76.04833333333333
1992-01-01,76.17233333333333
1992-04-01,76.359
1992-07-01,76.24433333333333
1992-10-01,76.53666666666666
1993-01-01,76.83
1993-04-01,77.07233333333333
1993-07-01,77.61233333333332
1993-10-01,78.13933333333334
1994-01-01,78.72533333333332
1994-04-01,79.21166666666666
1994-07-01,79.76566666666666
1994-10-01,80.17066666666666
1995-01-01,80.51833333333333
1995-04-01,80.71733333333333
1995-07-01,81.11833333333334
1995-10-01,81.61333333333333
1996-01-01,81.99433333333333
1996-04-01,82.59533333333333
1996-07-01,83.09133333333334
1996-10-01,83.551
1997-01-01,84.19666666666666
1997-04-01,84.85566666666666
1997-07-01,85.586
1997-10-01,86.625
1998-01-01,88.021
1998-04-01,89.363
1998-07-01,90.78566666666667
1998-10-01,92.211
1999-01-01,93.69966666666666
1999-04-01,95.36866666666667
1999-07-01,97.226
1999-10-01,99.175
2000-01-01,101.33933333333334
2000-04-01,103.67433333333334
2000-07-01,105.786
2000-10-01,108.27466666666668
2001-01-01,110.48466666666667
2001-04-01,112.20333333333333
2001-07-01,114.156
2001-10-01,115.872
2002-01-01,117.89133333333332
2002-04-01,120.71600000000001
2002-07-01,123.83300000000001
2002-10-01,126.675
2003-01-01,129.32133333333334
2003-04-01,131.756
2003-07-01,135.01266666666666
2003-10-01,138.83533333333332
2004-01-01,143.299
2004-04-01,148.209
2004-07-01,152.71666666666667
2004-10-01,157.53600000000003
2005-01-01,163.4813333333333
2005-04-01,169.34733333333332
2005-07-01,174.57900000000004
2005-10-01,179.5393333333333
2006-01-01,183.32366666666667
2006-04-01,183.99733333333333
2006-07-01,182.81966666666668
2006-10-01,183.65066666666667
2007-01-01,184.42233333333334
2007-04-01,181.62199999999999
2007-07-01,178.26200000000003
2007-10-01,175.3706666666667
2008-01-01,171.57633333333334
2008-04-01,166.67066666666668
2008-07-01,161.955
2008-10-01,156.02966666666666
2009-01-01,150.0583333333333
2009-04-01,147.91166666666666
2009-07-01,148.236
2009-10-01,147.97
2010-01-01,146.29566666666668
2010-04-01,146.16966666666667
2010-07-01,143.97166666666666
2010-10-01,142.25166666666667
2011-01-01,140.62300000000002
2011-04-01,139.92499999999998
2011-07-01,139.23333333333335
2011-10-01,137.26133333333334
2012-01-01,137.013
2012-04-01,140.11333333333334
2012-07-01,142.28366666666668
2012-10-01,144.562
2013-01-01,148.19466666666668
2013-04-01,152.8563333333333
2013-07-01,156.93766666666667
2013-10-01,160.10633333333334
2014-01-01,162.52366666666666
2014-04-01,163.702
2014-07-01,165.234
2014-10-01,167.34766666666667
2015-01-01,169.20433333333332
2015-04-01,170.881
2015-07-01,172.97299999999998
2015-10-01,175.7006666666667
2016-01-01,177.7206666666667
2016-04-01,179.439
2016-07-01,181.851
2016-10-01,184.727
2017-01-01,187.37933333333334
2017-04-01,189.68233333333333
2017-07-01,192.66933333333336
2017-10-01,195.896
2018-01-01,199.141
2018-04-01,201.62233333333333
2018-07-01,203.72133333333332
2018-10-01,205.44933333333333
2019-01-01,206.72666666666666
2019-04-01,208.48933333333335
2019-07-01,210.21266666666668
2019-10-01,212.49266666666668
2020-01-01,215.54700000000003
2020-04-01,217.764
2020-07-01,222.678
2020-10-01,232.59199999999998
2021-01-01,242.14166666666665
2021-04-01,254.633
2021-07-01,266.87833333333333
2021-10-01,276.591
2022-01-01,290.54466666666667
2022-04-01,303.26750000000004
