date,hp_idx
1987-01-01,63.965
1987-02-01,64.42399999999999
1987-03-01,64.735
1987-04-01,65.132
1987-05-01,65.565
1987-06-01,66.07300000000001
1987-07-01,66.508
1987-08-01,66.939
1987-09-01,67.331
1987-10-01,67.738
1987-11-01,68.107
1987-12-01,68.506
1988-01-01,68.859
1988-02-01,69.263
1988-03-01,69.639
1988-04-01,69.977
1988-05-01,70.426
1988-06-01,70.888
1988-07-01,71.354
1988-08-01,71.79899999999999
1988-09-01,72.24
1988-10-01,72.63600000000001
1988-11-01,73.072
1988-12-01,73.465
1989-01-01,73.947
1989-02-01,74.383
1989-03-01,74.778
1989-04-01,75.085
1989-05-01,75.306
1989-06-01,75.48
1989-07-01,75.658
1989-08-01,75.836
1989-09-01,76.057
1989-10-01,76.283
1989-11-01,76.521
1989-12-01,76.705
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.20100000000001
1990-04-01,77.278
1990-05-01,77.298
1990-06-01,77.258
1990-07-01,77.138
1990-08-01,77.009
1990-09-01,76.85
1990-10-01,76.7
1990-11-01,76.37
1990-12-01,76.185
1991-01-01,75.916
1991-02-01,75.735
1991-03-01,75.57
1991-04-01,75.567
1991-05-01,75.765
1991-06-01,75.993
1991-07-01,76.083
1991-08-01,76.11
1991-09-01,76.194
1991-10-01,76.075
1991-11-01,76.014
1991-12-01,76.056
1992-01-01,76.086
1992-02-01,76.155
1992-03-01,76.27600000000001
1992-04-01,76.346
1992-05-01,76.399
1992-06-01,76.332
1992-07-01,76.264
1992-08-01,76.23
1992-09-01,76.23899999999999
1992-10-01,76.377
1992-11-01,76.559
1992-12-01,76.67399999999999
1993-01-01,76.78399999999999
1993-02-01,76.83800000000001
1993-03-01,76.868
1993-04-01,76.937
1993-05-01,77.03699999999999
1993-06-01,77.243
1993-07-01,77.429
1993-08-01,77.613
1993-09-01,77.795
1993-10-01,77.942
1993-11-01,78.149
1993-12-01,78.327
1994-01-01,78.592
1994-02-01,78.727
1994-03-01,78.857
1994-04-01,78.988
1994-05-01,79.223
1994-06-01,79.42399999999999
1994-07-01,79.596
